RIAccount,Account,Subaccount,Lawson Account
1512,976900,18011,976900-18011
1513,976900,18011,976900-18011
1514,976900,18011,976900-18011
1515,976900,18011,976900-18011
1516,976900,18011,976900-18011
1440,976900,18011,976900-18011
1441,976900,18011,976900-18011
1444,976900,18011,976900-18011
1445,976900,18011,976900-18011
1472,976900,18013,976900-18013
1473,976900,18013,976900-18013
1474,976900,18013,976900-18013
1475,976900,18013,976900-18013
1476,976900,18013,976900-18013
1477,976900,18013,976900-18013
1478,976900,18013,976900-18013
1479,976900,18013,976900-18013
1480,976900,18013,976900-18013
1432,976900,18011,976900-18011
1433,976900,18011,976900-18011
1169,976900,18011,976900-18011
1506,976900,18011,976900-18011
1406,976900,18011,976900-18011
1407,976900,18011,976900-18011
1458,976900,18012,976900-18012
1459,976900,18012,976900-18012
1460,976900,18012,976900-18012
1461,976900,18012,976900-18012
1507,976900,18012,976900-18012
1471,976900,18013,976900-18013
1485,976900,18013,976900-18013
1470,976900,18013,976900-18013
1117,976900,18021,976900-18021
1158,976900,18021,976900-18021
1820,976900,18021,976900-18021
2326,976900,18021,976900-18021
1823,976900,18021,976900-18021
1107,976900,18021,976900-18021
1729,976900,18021,976900-18021
1150,976900,18021,976900-18021
1491,976900,18021,976900-18021
1201,976900,18021,976900-18021
1203,976900,18021,976900-18021
1106,976900,18021,976900-18021
1114,976900,18021,976900-18021
1154,976900,18021,976900-18021
1818,976900,18021,976900-18021
2324,976900,18021,976900-18021
1821,976900,18021,976900-18021
1495,976900,18021,976900-18021
1496,976900,18021,976900-18021
1497,976900,18021,976900-18021
1498,976900,18021,976900-18021
1499,976900,18021,976900-18021
1370,976900,18021,976900-18021
1500,976900,18021,976900-18021
1501,976900,18021,976900-18021
1502,976900,18021,976900-18021
1503,976900,18021,976900-18021
1152,976900,18021,976900-18021
1493,976900,18021,976900-18021
1494,976900,18022,976900-18022
40,976900,18011,976900-18011
46,976900,18011,976900-18011
41,976900,18011,976900-18011
1132,976900,18011,976900-18011
1430,976900,18011,976900-18011
1431,976900,18011,976900-18011
1168,976900,18011,976900-18011
47,976900,18011,976900-18011
1134,976900,18011,976900-18011
107,976900,18013,976900-18013
1484,976900,18013,976900-18013
108,976900,18013,976900-18013
1108,976900,18021,976900-18021
1151,976900,18021,976900-18021
1110,976900,18021,976900-18021
1138,976900,18011,976900-18011
1827,976900,18011,976900-18011
1830,976900,18011,976900-18011
1436,976900,18011,976900-18011
1437,976900,18011,976900-18011
883,976900,18011,976900-18011
1171,976900,18011,976900-18011
2331,976900,18011,976900-18011
48,976900,18011,976900-18011
50,976900,18011,976900-18011
49,976900,18011,976900-18011
1135,976900,18011,976900-18011
51,976900,18011,976900-18011
86,976900,18012,976900-18012
88,976900,18012,976900-18012
87,976900,18012,976900-18012
89,976900,18012,976900-18012
1111,976900,18021,976900-18021
117,976900,18031,976900-18031
130,976900,18031,976900-18031
143,976900,18031,976900-18031
933,976900,18031,976900-18031
944,976900,18031,976900-18031
955,976900,18031,976900-18031
934,976900,18031,976900-18031
945,976900,18031,976900-18031
956,976900,18031,976900-18031
1213,976900,18031,976900-18031
1224,976900,18031,976900-18031
1235,976900,18031,976900-18031
1246,976900,18031,976900-18031
1268,976900,18031,976900-18031
1257,976900,18031,976900-18031
1214,976900,18031,976900-18031
1225,976900,18031,976900-18031
1236,976900,18031,976900-18031
1247,976900,18031,976900-18031
1269,976900,18031,976900-18031
1258,976900,18031,976900-18031
118,976900,18031,976900-18031
131,976900,18031,976900-18031
144,976900,18031,976900-18031
156,976900,18032,976900-18032
157,976900,18032,976900-18032
966,976900,18032,976900-18032
967,976900,18032,976900-18032
